# These species names, database (RAM/FAO), and species categories
# were taken from the file
# `Compiled_Assessed_and_Unassessed_Data_5_with_Props.csv`
# by Sean on 2015-06-22
# the 3 categories correspond to the categories in the simulation dataset
spname,database,LH2
Rhinobatos planiceps,FAO,D
Rhizoprionodon terraenovae,Ram,D
Rhomboplites aurorubens,Ram,D
Rhynchobatus djiddensis,FAO,D
Ruvettus pretiosus,FAO,NA
Salilota australis,FAO,D
Sarda chiliensis,FAO,LP
Sarda orientalis,FAO,LP
Sarda sarda,FAO,LP
Sardina pilchardus,FAO,SP
Sardina pilchardus,Ram,SP
Sardinella aurita,FAO,D
Sardinella brasiliensis,FAO,SP
Sardinella gibbosa,FAO,D
Sardinella lemuru,FAO,SP
Sardinella longiceps,FAO,SP
Sardinella maderensis,FAO,SP
Sardinella zunasi,FAO,NA
Sardinops caeruleus,FAO,SP
Sardinops melanostictus,FAO,SP
Sardinops neopilchardus,FAO,SP
Sardinops ocellatus,FAO,SP
Sardinops sagax,FAO,SP
Sargocentron spiniferum,FAO,D
Sarpa salpa,FAO,D
Saurida tumbil,FAO,D
Saurida undosquamis,FAO,D
Schedophilus pemarco,FAO,D
Sciaena umbra,FAO,D
Sciaenops ocellatus,FAO,D
Scolopsis taeniatus,FAO,D
Scomber australasicus,FAO,SP
Scomber japonicus,FAO,SP
Scomber japonicus,Ram,SP
Scomber scombrus,Ram,SP
Scomber scombrus,FAO,SP
Scomberesox saurus,FAO,NA
Scomberoides commersonnianus,FAO,D
Scomberoides tol,FAO,D
Scomberomorus brasiliensis,FAO,D
Scomberomorus cavalla,FAO,D
Scomberomorus commerson,FAO,LP
Scomberomorus guttatus,FAO,LP
Scomberomorus lineolatus,FAO,LP
Scomberomorus maculatus,FAO,LP
Scomberomorus maculatus,Ram,LP
Scomberomorus niphonius,FAO,NA
Scomberomorus regalis,FAO,D
Scomberomorus sierra,FAO,NA
Scomberomorus tritor,FAO,LP
Scophthalmus aquosus,Ram,D
Scophthalmus rhombus,FAO,D
Scorpaenichthys marmoratus,Ram,D
Scyliorhinus canicula,FAO,D
Scyliorhinus stellaris,FAO,D
Sebastes aleutianus,Ram,D
Sebastes alutus,Ram,D
Sebastes alutus,FAO,D
Sebastes borealis,Ram,D
Sebastes crameri,Ram,D
Sebastes entomelas,Ram,NA
Sebastes entomelas,FAO,NA
Sebastes fasciatus,Ram,D
Sebastes flavidus,Ram,D
Sebastes goodei,Ram,D
Sebastes jordani,Ram,D
Sebastes levis,Ram,D
Sebastes marinus,FAO,LP
Sebastes melanops,Ram,D
Sebastes mentella,FAO,SP
Sebastes mystinus,Ram,D
Sebastes paucispinis,Ram,D
Sebastes paucispinis,FAO,D
Sebastes pinniger,Ram,D
Sebastes pinniger,FAO,D
Sebastes polyspinis,Ram,D
Sebastes ruberrimus,Ram,D
Sebastes variabilis,Ram,D
Selar crumenophthalmus,FAO,D
Selaroides leptolepis,FAO,D
Selene dorsalis,FAO,D
Selene setapinnis,FAO,SP
Seriola dumerili,FAO,D
Seriola lalandi,FAO,LP
Seriolella brama,FAO,NA
Seriolella caerulea,FAO,D
Seriolella porosa,FAO,SP
Seriolella punctata,FAO,LP
Seriolina nigrofasciata,FAO,D
Sillago flindersi,Ram,D
Solea lascaris,FAO,D
Solea solea,FAO,D
Solea vulgaris,Ram,D
Somniosus microcephalus,FAO,D
Sparisoma cretense,FAO,D
Sparus aurata,FAO,D
Sphoeroides maculatus,FAO,D
Sphyraena barracuda,FAO,D
Sphyraena jello,FAO,D
Sphyraena sphyraena,FAO,LP
Sphyrna tiburo,Ram,D
Spicara maena,FAO,SP
Spondyliosoma cantharus,FAO,D
Spratelloides gracilis,FAO,SP
Sprattus fuegensis,FAO,SP
Sprattus sprattus,Ram,SP
Sprattus sprattus,FAO,SP
Squalus acanthias,FAO,D
Squatina argentina,FAO,D
Squatina californica,FAO,D
